--- Courses with invalid hours (NULL or 0) ---
Found 332 unschedulable courses:
  [MBT332] Biyoteknoloji İşletmeleri Sist. Tek. I: T=0, U=0, L=0
  [MBT364] Biyoanalitik: T=0, U=0, L=0
  [MBT441] Proje I: T=0, U=0, L=0
  [MEC299] Basic Internship / Temel Staj: T=0, U=0, L=0
  [MEC499] Advanced Internship / Mesleki Alan Stajı: T=0, U=0, L=0
  [MODÜL] DERSİN ADI: T=0, U=0, L=0
  [NWI300] Temel Hukuk: T=0, U=0, L=0
  [POL101] Siyaset Bilimine Giriş: T=0, U=0, L=0
  [POL104] Siyasal Düşünceler Tarihi: T=0, U=0, L=0
  [POL105] Uluslararası İlişkiler Tarihi: T=0, U=0, L=0
  [POL106] Uluslararası İlişkilere Giriş: T=0, U=0, L=0
  [POL107] Bilimsel Çalışmaya Giriş: T=0, U=0, L=0
  [POL108] Sosyolojiye Giriş: T=0, U=0, L=0
  [POL191] Siyaset Bilimine Giriş: T=0, U=0, L=0
  [POL203] Sosyal Bilimlerde Nitel Yöntemler: T=0, U=0, L=0
  [POL204] Sosyal Bilimlerde Nicel Yöntemler: T=0, U=0, L=0
  [POL205] Uluslararası İlişkiler Teorileri: T=0, U=0, L=0
  [POL208] Siyasal Teori: T=0, U=0, L=0
  [POL211] Karşılaştırmalı Siyaset Bilimi: T=0, U=0, L=0
  [POL212] Türk Siyasal Hayatı: T=0, U=0, L=0
  [POL302] Sosyal Bilimler İçin İstatistik: T=0, U=0, L=0
  [POL303] Uluslararası Ekonomi Politik: T=0, U=0, L=0
  [POL304] Avrupa Birliği'nin Siyasi ve İdari Yapısı: T=0, U=0, L=0
  [POL306] Almanya Siyasi Tarihi: T=0, U=0, L=0
  [POL309] Türkiye ve Avrupa İlişkilerinde Güncel Meseleler: T=0, U=0, L=0
  [POL311] Dış Politika Analizi: T=0, U=0, L=0
  [POL312] Uluslararası Örgütler: T=0, U=0, L=0
  [POL313] Türk Dış Politikası I: T=0, U=0, L=0
  [POL314] Türk Dış Politikası II: T=0, U=0, L=0
  [POL316] Araştırma Semineri: T=0, U=0, L=0
  [POL403] Alman Dış Politikası: T=0, U=0, L=0
  [POL405] Avrupa Entegrasyon Teorileri: T=0, U=0, L=0
  [POL520] Siyaset Bilimi Stajı: T=0, U=0, L=0
  [POLSDI] Seçmeli Ders Alanı I: T=0, U=0, L=0
  [POLSDII] Seçmeli Ders Alanı II: T=0, U=0, L=0
  [POLSDIII] Seçmeli Ders Alanı III: T=0, U=0, L=0
  [POLSDIV] Seçmeli Ders Alanı IV: T=0, U=0, L=0
  [PRK401] Staj: T=0, U=0, L=0
  [SD] Seçmeli Ders: T=0, U=0, L=0
  [SDBIOI] Seçmeli Dersler-BIO I: T=0, U=0, L=0
  [SDBIOII] Seçmeli Dersler: T=0, U=0, L=0
  [SDBIOIII] Seçmeli Dersler: T=0, U=0, L=0
  [SDI] Seçmeli Alan I - İktisadi Bilimler: T=0, U=0, L=0
  [SDII] Seçmeli Ders Alanı II / Elective Pool II: T=0, U=0, L=0
  [SDII] Seçmeli Alan II - Endüstri Müh. Araştırma Alanı: T=0, U=0, L=0
  [SDIII] Seçmeli Dersler III: T=0, U=0, L=0
  [SDIIa] Seçmeli II - Uygulamalı Bilgisayar Müh.: T=0, U=0, L=0
  [SDIIb] Seçmeli II - Bilgisayar Donanımı: T=0, U=0, L=0
  [SDIIc] Seçmeli II - Bilg. Müh. Kuramsal Temelleri ve Matematik: T=0, U=0, L=0
  [SDIa] Seçmeli I - Uygulamalı Bilgisayar Mühendisliği: T=0, U=0, L=0
  [SDIb] Seçmeli I - Bilgisayar Donanımı: T=0, U=0, L=0
  [SDIc] Seçmeli I - Bilg. Müh. Kuramsal Temelleri ve Matematik: T=0, U=0, L=0
  [SDK] Zorunlu Seçmeli - Kontrol / Compulsary Elective - Control: T=0, U=0, L=0
  [SDM] Seçmeli Ders Alanı M / Elective Pool M: T=0, U=0, L=0
  [SDMATI] Seçmeli Dersler: T=0, U=0, L=0
  [SDP] Seçmeli Alan - Proje: T=0, U=0, L=0
  [SDP] Seçmeli Alan - Proje / Elective Courses - Project: T=0, U=0, L=0
  [SDP] Seçmeli Ders Alanı - Proje / Elective Course - Project: T=0, U=0, L=0
  [SDP I] Elective Project I / Seçmeli Proje I: T=0, U=0, L=0
  [SDP II] Elective Project II / Seçmeli Proje II: T=0, U=0, L=0
  [SDT] Seçmeli Ders Alanı T / Elective Pool T: T=0, U=0, L=0
  [SDUx] Zorunlu Seçmeli I - Uzmanlık A, B, C veya D: T=0, U=0, L=0
  [SDV] Seçmeli Ders Alanı V / Elective Pool V: T=0, U=0, L=0
  [SDVI] Seçmeli Ders Alanı VI / Elective Pool VI: T=0, U=0, L=0
  [SDVII] Seçmeli Ders Alanı VII: T=0, U=0, L=0
  [SOZ101] Sosyolojiye Giriş I: T=0, U=0, L=0
  [SOZ102] Sosyolojiye Giriş II: T=0, U=0, L=0
  [SOZ103] Sosyolojinin Felsefi Temelleri: T=0, U=0, L=0
  [SOZ111] Çalışma Teknikleri: Bilimsel Çalışmalar: T=0, U=0, L=0
  [SOZ132] Sosyal Bilimlerde Mantık ve Argümantasyon: T=0, U=0, L=0
  [SOZ142] Sosyal ve Kültürel Antropoloji: T=0, U=0, L=0
  [SOZ151] Küresel Uygarlıklar Tarihi: T=0, U=0, L=0
